NO	PATTERNS	FREQ
1	ANGRY ABOUT THINGS	11
2	ANGRY ABOUT TAXES	3
3	ANGRY ABOUT STUFF	3
4	ANGRY ABOUT PRESIDENT	3
5	ANGRY ABOUT POLITICS	3
6	ANGRY ABOUT GOVERNMENT	3
7	ANGRY ABOUT DRUGS	2
8	ANGRY ABOUT EXECUTIVE	2
9	ANGRY ABOUT HEALTH	2
10	ANGRY ABOUT MEN	2
11	ANGRY ABOUT POLITICIANS	2
12	ANGRY ABOUT REPORTS	2
13	ANGRY ABOUT INJUSTICE	2
14	ANGRY ABOUT WORLD	1
15	ANGRY ABOUT WORK	1
16	ANGRY ABOUT WILL	1
17	ANGRY ABOUT WAIT	1
18	ANGRY ABOUT VACCINES	1
19	ANGRY ABOUT TRUMP	1
20	ANGRY ABOUT TESTIMONY	1
21	ANGRY ABOUT IMMIGRATION	1
22	ANGRY ABOUT IMMIGRANTS	1
23	ANGRY ABOUT TAXATION	1
24	ANGRY ABOUT SURPRISE	1
25	ANGRY ABOUT SUGGESTIONS	1
26	ANGRY ABOUT STORIES	1
27	ANGRY ABOUT STATISTICS	1
28	ANGRY ABOUT SEX	1
29	ANGRY ABOUT SENATOR	1
30	ANGRY ABOUT REPUBLICAN	1
31	ANGRY ABOUT REGULATIONS	1
32	ANGRY ABOUT REGGIE	1
33	ANGRY ABOUT RAPE	1
34	ANGRY ABOUT PRICING	1
35	ANGRY ABOUT PRESS	1
36	ANGRY ABOUT PEOPLE	1
37	ANGRY ABOUT PARTISANSHIP	1
38	ANGRY ABOUT PARASITE	1
39	ANGRY ABOUT OIL	1
40	ANGRY ABOUT MR	1
41	ANGRY ABOUT MOON	1
42	ANGRY ABOUT MONEY	1
43	ANGRY ABOUT MALPRACTICE	1
44	ANGRY ABOUT LIFE	1
45	ANGRY ABOUT LEGISLATION	1
46	ANGRY ABOUT LAPSES	1
47	ANGRY ABOUT KISSES	1
48	ANGRY ABOUT KIDS	1
49	ANGRY ABOUT JOBLESSNESS	1
50	ANGRY ABOUT INJUSTICES	1
51	ANGRY ABOUT HAVINGTO	1
52	ANGRY ABOUT GRIDLOCK	1
53	ANGRY ABOUT EARNINGS	1
54	ANGRY ABOUT GMOS	1
55	ANGRY ABOUT GAYS	1
56	ANGRY ABOUT GAS	1
57	ANGRY ABOUT FORGETFULNESS	1
58	ANGRY ABOUT FLOOD	1
59	ANGRY ABOUT FEELING	1
60	ANGRY ABOUT DELAYS	1
61	ANGRY ABOUT DECODE	1
62	ANGRY ABOUT DECISIONS	1
63	ANGRY ABOUT DEAL	1
64	ANGRY ABOUT DAMAGE	1
65	ANGRY ABOUT DADDY	1
66	ANGRY ABOUT CRITICISM	1
67	ANGRY ABOUT CRIME	1
68	ANGRY ABOUT COWARDICE	1
69	ANGRY ABOUT CORRUPTION	1
70	ANGRY ABOUT CONGRESSMAN	1
71	ANGRY ABOUT CONGRESS	1
72	ANGRY ABOUT CONDITIONS	1
73	ANGRY ABOUT CLASS	1
74	ANGRY ABOUT CHANGES	1
75	ANGRY ABOUT CAPTAIN	1
76	ANGRY ABOUT CAPITALISM	1
77	ANGRY ABOUT BUDGET	1
78	ANGRY ABOUT BRIS	1
79	ANGRY ABOUT BLACKS	1
80	ANGRY ABOUT BAILOUTS	1
81	ANGRY ABOUT ATTACKS	1
82	ANGRY ABOUT APPLE	1
83	ANGRY ABOUT ADS	1
84	ANGRY ABOUT ABORTION	1
