NO	PATTERNS	FREQ
1	ANGRY AT PEOPLE	32
2	ANGRY AT TIMES	26
3	ANGRY AT PRESIDENT	15
4	ANGRY AT WOMEN	12
5	ANGRY AT ME	9
6	ANGRY AT LIFE	5
7	ANGRY AT DAD	4
8	ANGRY AT GOVERNMENT	4
9	ANGRY AT GOD	4
10	ANGRY AT DR	4
11	ANGRY AT INJUSTICE	4
12	ANGRY AT MR	4
13	ANGRY AT MEN	3
14	ANGRY AT GOVERNOR	3
15	ANGRY AT DEMOCRATS	3
16	ANGRY AT HOME	3
17	ANGRY AT CONGRESS	3
18	ANGRY AT POLICE	3
19	ANGRY AT RELIGION	3
20	ANGRY AT SENATOR	3
21	ANGRY AT SO-AND-SO	3
22	ANGRY AT SOCIETY	3
23	ANGRY AT THINGS	3
24	ANGRY AT TRUMP	3
25	ANGRY AT US	3
26	ANGRY AT AUTHORITY	2
27	ANGRY AT CHILDREN	2
28	ANGRY AT CITY	2
29	ANGRY AT COMPANIES	2
30	ANGRY AT CORRUPTION	2
31	ANGRY AT IMMIGRANTS	2
32	ANGRY AT MAYOR	2
33	ANGRY AT HOMOSEXUALS	2
34	ANGRY AT DADDY	2
35	ANGRY AT MOTHER	2
36	ANGRY AT MUSIC	2
37	ANGRY AT PARENTS	2
38	ANGRY AT POLITICIANS	2
39	ANGRY AT QUESTIONS	2
40	ANGRY AT RACISM	2
41	ANGRY AT REPORTERS	2
42	ANGRY AT REPORTS	2
43	ANGRY AT SESSIONS	2
44	ANGRY AT UNCLE	2
45	ANGRY AT WORK	2
46	ANGRY AT MOBS	1
47	ANGRY AT MINORITIES	1
48	ANGRY AT MEXICANS	1
49	ANGRY AT MEMBERS	1
50	ANGRY AT INEQUITIES	1
51	ANGRY AT INCUMBENTS	1
52	ANGRY AT MANAGEMENT	1
53	ANGRY AT MAN	1
54	ANGRY AT MAMA	1
55	ANGRY AT MAINLANDERS	1
56	ANGRY AT MAFIA	1
57	ANGRY AT MA	1
58	ANGRY AT LIB	1
59	ANGRY AT LEFTY	1
60	ANGRY AT LEADERSHIP	1
61	ANGRY AT KIDS	1
62	ANGRY AT KATNISS	1
63	ANGRY AT JOB	1
64	ANGRY AT INTERVIEWS	1
65	ANGRY AT HUSBANDS	1
66	ANGRY AT HUSBAND	1
67	ANGRY AT HOUSE	1
68	ANGRY AT GOV	1
69	ANGRY AT COPS	1
70	ANGRY AT CONSERVATIVES	1
71	ANGRY AT HOLLY	1
72	ANGRY AT HISTORICISM	1
73	ANGRY AT HERR	1
74	ANGRY AT HEART	1
75	ANGRY AT HANDKERCHIEFS	1
76	ANGRY AT GRIESE	1
77	ANGRY AT GRANDMOTHER	1
78	ANGRY AT GRACE.I	1
79	ANGRY AT GLOBALIZATION	1
80	ANGRY AT GAME	1
81	ANGRY AT FRASIER	1
82	ANGRY AT FEELING	1
83	ANGRY AT FATHER	1
84	ANGRY AT FATE	1
85	ANGRY AT FACEBOOK	1
86	ANGRY AT EXCELLENCE	1
87	ANGRY AT EX-SPOUSES	1
88	ANGRY AT EVIL	1
89	ANGRY AT ENVIRONMENTALISTS	1
90	ANGRY AT DOGS	1
91	ANGRY AT DOCTORS	1
92	ANGRY AT DJ	1
93	ANGRY AT DECADES	1
94	ANGRY AT DEATH	1
95	ANGRY AT DEADBEATS	1
96	ANGRY AT DANY	1
97	ANGRY AT CYCLISTS	1
98	ANGRY AT CUSTOMERS	1
99	ANGRY AT CRITICISM	1
100	ANGRY AT CONFERENCES	1
