NO	PATTERNS	FREQ
1	ANGRY OVER THINGS	4
2	ANGRY OVER PRESIDENT	3
3	ANGRY OVER WAR-CRIMINALS	3
4	ANGRY OVER MR	2
5	ANGRY OVER YEARS	1
6	ANGRY OVER WELFARE	1
7	ANGRY OVER TOWELS	1
8	ANGRY OVER TB	1
9	ANGRY OVER PRICE	1
10	ANGRY OVER POP	1
11	ANGRY OVER PLANS	1
12	ANGRY OVER PARKS	1
13	ANGRY OVER OIL	1
14	ANGRY OVER LACK	1
15	ANGRY OVER FOOD	1
16	ANGRY OVER EDUCATION	1
17	ANGRY OVER DECISION	1
18	ANGRY OVER DAUGHTER	1
19	ANGRY OVER CONSTRUCTION	1
20	ANGRY OVER CONDITIONS	1
21	ANGRY OVER CITY	1
22	ANGRY OVER CHILDHOOD	1
23	ANGRY OVER CAREERS	1
