NO	PATTERNS	FREQ
1	ANGRY WITH PEOPLE	14
2	ANGRY WITH ME	9
3	ANGRY WITH PRESIDENT	6
4	ANGRY WITH RAGE	3
5	ANGRY WITH SCHOOL	3
6	ANGRY WITH WOMEN	3
7	ANGRY WITH BANKS	3
8	ANGRY WITH CHANGES	2
9	ANGRY WITH CAL	2
10	ANGRY WITH DEMOCRATS	2
11	ANGRY WITH DADDY	2
12	ANGRY WITH LIFE	2
13	ANGRY WITH MRS	2
14	ANGRY WITH CHILD	2
15	ANGRY WITH POLITICS	2
16	ANGRY WITH SOCIETY	2
17	ANGRY WITH POWER	1
18	ANGRY WITH POLLING	1
19	ANGRY WITH SLEEP	1
20	ANGRY WITH SINNERS	1
21	ANGRY WITH SIN	1
22	ANGRY WITH SENATOR	1
23	ANGRY WITH WOLF	1
24	ANGRY WITH WHITES	1
25	ANGRY WITH UTILITY	1
26	ANGRY WITH US	1
27	ANGRY WITH UNCLE	1
28	ANGRY WITH TWITTER	1
29	ANGRY WITH TRUMP	1
30	ANGRY WITH TITE	1
31	ANGRY WITH TIME	1
32	ANGRY WITH TAYLOR	1
33	ANGRY WITH TAG	1
34	ANGRY WITH SUTTERS	1
35	ANGRY WITH STUDENTS	1
36	ANGRY WITH SPEAKER	1
37	ANGRY WITH SALOU	1
38	ANGRY WITH ROCK	1
39	ANGRY WITH ROBERTSON	1
40	ANGRY WITH REPUBLICANS	1
41	ANGRY WITH RELIEF	1
42	ANGRY WITH RECOGNITION	1
43	ANGRY WITH PSYCHOLOGISTS	1
44	ANGRY WITH PSYCHE	1
45	ANGRY WITH PROSECUTORS	1
46	ANGRY WITH PROSECUTOR	1
47	ANGRY WITH PRICE	1
48	ANGRY WITH POLITICIANS	1
49	ANGRY WITH PIMPLES	1
50	ANGRY WITH CHIEF	1
51	ANGRY WITH PARENTS	1
52	ANGRY WITH OPPRESSORS	1
53	ANGRY WITH NORDEN	1
54	ANGRY WITH MUSLIMS	1
55	ANGRY WITH MUSIC	1
56	ANGRY WITH MR	1
57	ANGRY WITH MOMMA	1
58	ANGRY WITH MISS	1
59	ANGRY WITH MANAGER	1
60	ANGRY WITH MAN	1
61	ANGRY WITH LUST	1
62	ANGRY WITH LAW	1
63	ANGRY WITH LABOR	1
64	ANGRY WITH KIT	1
65	ANGRY WITH KING	1
66	ANGRY WITH JOB	1
67	ANGRY WITH INTERNET	1
68	ANGRY WITH HONIG	1
69	ANGRY WITH HOME	1
70	ANGRY WITH HIM	1
71	ANGRY WITH HEAT	1
72	ANGRY WITH HATE	1
73	ANGRY WITH GOVERNOR	1
74	ANGRY WITH GOVERNMENT	1
75	ANGRY WITH GOURRY	1
76	ANGRY WITH GOD	1
77	ANGRY WITH GIANTS	1
78	ANGRY WITH GALA	1
79	ANGRY WITH FAITH	1
80	ANGRY WITH DR	1
81	ANGRY WITH CULTURES	1
82	ANGRY WITH CRYSTAL	1
83	ANGRY WITH CONSERVATIVES	1
84	ANGRY WITH CONGRESSMAN	1
85	ANGRY WITH CONGRESS	1
86	ANGRY WITH CONCERN	1
87	ANGRY WITH BLAZE	1
88	ANGRY WITH BASEBALL	1
89	ANGRY WITH BANKERS	1
90	ANGRY WITH AZITA	1
91	ANGRY WITH AUNT	1
92	ANGRY WITH ADULTS	1
93	ANGRY WITH ACCOLADES	1
