NO	PATTERNS	FREQ
1	MAD ABOUT THINGS	6
2	MAD ABOUT OSCAR	3
3	MAD ABOUT BENEFIT	3
4	MAD ABOUT DRAWING	2
5	MAD ABOUT CARS	2
6	MAD ABOUT GANGS	2
7	MAD ABOUT MAKEUP	2
8	MAD ABOUT PETS	2
9	MAD ABOUT PEOPLE	2
10	MAD ABOUT SOCCER	2
11	MAD ABOUT Y'ALL	1
12	MAD ABOUT WORKS	1
13	MAD ABOUT VIOLENCE	1
14	MAD ABOUT VIDEO	1
15	MAD ABOUT TRADE	1
16	MAD ABOUT THENO	1
17	MAD ABOUT THEATER	1
18	MAD ABOUT TAXES	1
19	MAD ABOUT STUDENT	1
20	MAD ABOUT SPORTS	1
21	MAD ABOUT SKIN	1
22	MAD ABOUT SHOE	1
23	MAD ABOUT SHEEP	1
24	MAD ABOUT SECURITY	1
25	MAD ABOUT SALAD	1
26	MAD ABOUT RICE	1
27	MAD ABOUT PROPERTY	1
28	MAD ABOUT PRODUCT	1
29	MAD ABOUT PRESIDENT	1
30	MAD ABOUT PLAID	1
31	MAD ABOUT PIRACY	1
32	MAD ABOUT PHONE	1
33	MAD ABOUT PAINT	1
34	MAD ABOUT BEARD	1
35	MAD ABOUT AGENTS	1
36	MAD ABOUT KELLERMAN	1
37	MAD ABOUT IT	1
38	MAD ABOUT ISSUES	1
39	MAD ABOUT ICE	1
40	MAD ABOUT OPERA	1
41	MAD ABOUT NOTHIN	1
42	MAD ABOUT NIGHT	1
43	MAD ABOUT MUSIC	1
44	MAD ABOUT MUSE	1
45	MAD ABOUT MONEY	1
46	MAD ABOUT MOBILE	1
47	MAD ABOUT MISS	1
48	MAD ABOUT FOOTBALL	1
49	MAD ABOUT FOOD	1
50	MAD ABOUT FALL	1
51	MAD ABOUT ELECTRICITY	1
52	MAD ABOUT CANDY	1
53	MAD ABOUT BROWS	1
54	MAD ABOUT BRO	1
55	MAD ABOUT DRAGONS	1
56	MAD ABOUT DISCUSSION	1
57	MAD ABOUT DASHES	1
58	MAD ABOUT DASHBOARD	1
59	MAD ABOUT CYCLING	1
60	MAD ABOUT CROWD	1
61	MAD ABOUT CHILDREN	1
