NO	PATTERNS	FREQ
1	MAD AT ME	39
2	MAD AT PEOPLE	30
3	MAD AT DAD	18
4	MAD AT DADDY	17
5	MAD AT PRESIDENT	15
6	MAD AT MOM	11
7	MAD AT CONGRESS	10
8	MAD AT MOMMY	6
9	MAD AT LIFE	4
10	MAD AT US	4
11	MAD AT DR	3
12	MAD AT BASEBALL	3
13	MAD AT POLITICIANS	3
14	MAD AT REPUBLICANS	3
15	MAD AT APPLE	2
16	MAD AT BUSINESSMEN	2
17	MAD AT CHAIT	2
18	MAD AT CHRIS	2
19	MAD AT CHEF	2
20	MAD AT GIRLS	2
21	MAD AT GANGSTA	2
22	MAD AT HUMANS	2
23	MAD AT HOUSE	2
24	MAD AT LIBERALS	2
25	MAD AT AALIYAH	2
26	MAD AT MEN	2
27	MAD AT M	2
28	MAD AT RADIO	2
29	MAD AT SPIKE	2
30	MAD AT SPORTS	2
31	MAD AT THEM	2
32	MAD AT THINGS	2
33	MAD AT WOMEN	2
34	MAD AT YOU	2
35	MAD AT MONGUL	1
36	MAD AT MOMMA	1
37	MAD AT MISTER	1
38	MAD AT METHE	1
39	MAD AT MELODY	1
40	MAD AT MEI	1
41	MAD AT MEBECAUSE	1
42	MAD AT ME'CAUSE	1
43	MAD AT MAMA	1
44	MAD AT MAGAZINES	1
45	MAD AT LANCE	1
46	MAD AT LADY	1
47	MAD AT KING	1
48	MAD AT KAT	1
49	MAD AT JUSTIN	1
50	MAD AT JUICE	1
51	MAD AT JOURNALISM	1
52	MAD AT JEWS	1
53	MAD AT JESSE	1
54	MAD AT ITALIANS	1
55	MAD AT INTRUDERS	1
56	MAD AT INEQUALITY	1
57	MAD AT INCUMBENTS	1
58	MAD AT IDIOTS	1
59	MAD AT HUNSEU	1
60	MAD AT HIMHE	1
61	MAD AT HIM	1
62	MAD AT HERWITH	1
63	MAD AT HER.YOU	1
64	MAD AT HELL	1
65	MAD AT HAMOUI	1
66	MAD AT GUYS	1
67	MAD AT GROTHE	1
68	MAD AT GRANNY	1
69	MAD AT GRACE	1
70	MAD AT GOVERNMENT	1
71	MAD AT GOOGLE	1
72	MAD AT GLORETTE	1
73	MAD AT FRIENDS	1
74	MAD AT FOOD	1
75	MAD AT FOLK	1
76	MAD AT FINN	1
77	MAD AT FERN	1
78	MAD AT FATHER	1
79	MAD AT EPD	1
80	MAD AT EAGLE	1
81	MAD AT DRAKE	1
82	MAD AT DISCO	1
83	MAD AT DICKS	1
84	MAD AT DIABETES	1
85	MAD AT DEMOCRATS	1
86	MAD AT DEACON	1
87	MAD AT CRITICS	1
88	MAD AT COWBOYS	1
89	MAD AT COUSIN	1
90	MAD AT COACH	1
91	MAD AT CLARA	1
92	MAD AT CHASE	1
93	MAD AT CHA	1
94	MAD AT CELEBRITIES	1
95	MAD AT CAT	1
96	MAD AT CAPITALISM	1
97	MAD AT CABLE	1
98	MAD AT BUREAUCRATS	1
99	MAD AT BUREACRATS	1
100	MAD AT BUGS	1
