NO	PATTERNS	FREQ
1	MAD WITH GRIEF	31
2	MAD WITH POWER	16
3	MAD WITH FEAR	10
4	MAD WITH JOY	8
5	MAD WITH JEALOUSY	8
6	MAD WITH RAGE	6
7	MAD WITH LOVE	6
8	MAD WITH EXCITEMENT	6
9	MAD WITH DESIRE	6
10	MAD WITH BOREDOM	5
11	MAD WITH HUNGER	4
12	MAD WITH PAIN	4
13	MAD WITH THIRST	3
14	MAD WITH PLEASURE	3
15	MAD WITH HATRED	3
16	MAD WITH FEVER	3
17	MAD WITH BLOOD	2
18	MAD WITH DELIGHT	2
19	MAD WITH FRUSTRATION	2
20	MAD WITH GUILT	2
21	MAD WITH GREED	2
22	MAD WITH HATE	2
23	MAD WITH PASSION	2
24	MAD WITH MISERY	2
25	MAD WITH LUST	2
26	MAD WITH STRESS	2
27	MAD WITH WORRY	2
28	MAD WITH LONELINESS	2
29	MAD WITH ZERO	1
30	MAD WITH WHALES	1
31	MAD WITH VANITY	1
32	MAD WITH TORMENT	1
33	MAD WITH TERROR	1
34	MAD WITH TERRITORY	1
35	MAD WITH TENDERNESS	1
36	MAD WITH TALK	1
37	MAD WITH TALENT	1
38	MAD WITH STRAWBERRIES	1
39	MAD WITH SOUND	1
40	MAD WITH QUARTERBACK	1
41	MAD WITH PROGRESSIVES	1
42	MAD WITH PRIDE	1
43	MAD WITH PANIC	1
44	MAD WITH OFFENSE	1
45	MAD WITH MRS	1
46	MAD WITH MONEY	1
47	MAD WITH MISGIVINGS	1
48	MAD WITH LONGING	1
49	MAD WITH IMPATIENCE	1
50	MAD WITH HORROR	1
51	MAD WITH HOMEWORK	1
52	MAD WITH HAPPINESS	1
53	MAD WITH GLEE	1
54	MAD WITH FRIGHT	1
55	MAD WITH DEPRESSION	1
56	MAD WITH DELIRIUM	1
57	MAD WITH ENVY	1
58	MAD WITH DREAM	1
59	MAD WITH DOUBTS	1
60	MAD WITH DISBELIEF	1
61	MAD WITH DESPAIR	1
62	MAD WITH DEFEAT	1
63	MAD WITH DANCE	1
64	MAD WITH CRAVINGS	1
65	MAD WITH CONQUEST	1
66	MAD WITH CONCENTRATION	1
67	MAD WITH COMPASSION	1
68	MAD WITH COBALT	1
69	MAD WITH BATTLE	1
70	MAD WITH ANXIETY	1
71	MAD WITH ANGER	1
72	MAD WITH AMBITION	1
73	MAD WITH AGE	1
74	MAD WITH ADRENALINE	1
